# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.3390
# k_min, k_max      =     0.0000    2.1178
# E_min, E_max      =   -17.5867  137.1841
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      1.118652    -13.482400
      1.140172    -13.488800
      1.161693    -13.491900
      1.183213    -13.491700
      1.204734    -13.488000
      1.227560    -13.284500
      1.250386    -13.076900
      1.273212    -12.869000
      1.296038    -12.660200
      1.318864    -12.455200
      1.341690    -12.257600
      1.364516    -12.071500
      1.387341    -11.901400
      1.410167    -11.751200
      1.432993    -11.624100
      1.452558    -11.634500
      1.472123    -11.666000
      1.491689    -11.714700
      1.511254    -11.776400
      1.530819    -11.847300
      1.550384    -11.924000
      1.569949    -12.003600
      1.589514    -12.083900
      1.609079    -12.162600
      1.628644    -12.238800
      1.648209    -12.310900
      1.667774    -12.378000
      1.687339    -12.439000
      1.706905    -12.493700
      1.726470    -12.541600
      1.746035    -12.583100
      1.765600    -12.618600
      1.785165    -12.649500
      1.804730    -12.677200
      1.824295    -12.703700
      1.843860    -12.731200
      1.863425    -12.761600
      1.882990    -12.796500
      1.902555    -12.837100
      1.922121    -12.883500
      1.941686    -12.935600
      1.961251    -12.992600
      1.980816    -13.053400
      2.000381    -13.116900
      2.019946    -13.181900
      2.039511    -13.247400
      2.059076    -13.312300
      2.078641    -13.375900
      2.098206    -13.437500
      2.117771    -13.497800


      0.000000    -12.667000
      0.022365    -12.678200
      0.044730    -12.676300
      0.067094    -12.661500
      0.089459    -12.633600
      0.111824    -12.593200
      0.134189    -12.541300
      0.156553    -12.479600
      0.178918    -12.410500
      0.201283    -12.336700
      0.223648    -12.262400
      0.246012    -12.192700
      0.268377    -12.134200
      0.290742    -12.094600
      0.313107    -12.082000
      0.335471    -12.102900
      0.357836    -12.159500
      0.380201    -12.250200
      0.402566    -12.369300
      0.424930    -12.509800
      0.447295    -12.664700
      0.469660    -12.828300
      0.492025    -12.996100
      0.514389    -13.164800
      0.536754    -13.331900
      0.559119    -13.492800
      0.580639    -13.224700
      0.602160    -12.946000
      0.623680    -12.661700
      0.645201    -12.372300
      0.666721    -12.078100
      0.688242    -11.779700
      0.709762    -11.477300
      0.731283    -11.171500
      0.752803    -10.862500
      0.774324    -10.550800
      0.795844    -10.236700
      0.817365     -9.920800
      0.838885     -9.603600
      0.860406     -9.570800
      0.881926     -9.564600
      0.903447     -9.794600
      0.924967    -10.111100
      0.946488    -10.426000
      0.968008    -10.738700
      0.989529    -11.048800
      1.011049    -11.356000
      1.032570    -11.659800
      1.054090    -11.959800
      1.075611    -12.255700
      1.097131    -12.547100
      1.118652    -12.833400
      1.140172    -13.114400
      1.161693    -13.389500
      1.183213    -13.334000
      1.204734    -13.057600
      1.227560    -13.056700
      1.250386    -13.053800
      1.273212    -12.867500
      1.296038    -12.658900
      1.318864    -12.454100
      1.341690    -12.256700
      1.364516    -12.070800
      1.387341    -11.900900
      1.410167    -11.751000
      1.432993    -11.624000
      1.452558    -11.634300
      1.472123    -11.665700
      1.491689    -11.714300
      1.511254    -11.776000
      1.530819    -11.846900
      1.550384    -11.923600
      1.569949    -12.003200
      1.589514    -12.083500
      1.609079    -12.029800
      1.628644    -11.821600
      1.648209    -11.605000
      1.667774    -11.380900
      1.687339    -11.149600
      1.706905    -10.911500
      1.726470    -10.666900
      1.746035    -10.416000
      1.765600    -10.158900
      1.785165     -9.896100
      1.804730     -9.853400
      1.824295    -10.014600
      1.843860    -10.193500
      1.863425    -10.389500
      1.882990    -10.600600
      1.902555    -10.824400
      1.922121    -11.058100
      1.941686    -11.298900
      1.961251    -11.544500
      1.980816    -11.792800
      2.000381    -12.042300
      2.019946    -12.291300
      2.039511    -12.538900
      2.059076    -12.784100
      2.078641    -13.026000
      2.098206    -13.263900
      2.117771    -13.492800


      0.000000    -12.621200
      0.022365    -12.678200
      0.044730    -12.672900
      0.067094    -12.591500
      0.089459    -12.447200
      0.111824    -12.251400
      0.134189    -12.014800
      0.156553    -11.746000
      0.178918    -11.451300
      0.201283    -11.135300
      0.223648    -10.801400
      0.246012    -10.452100
      0.268377    -10.089700
      0.290742     -9.715700
      0.313107     -9.339300
      0.335471     -9.395200
      0.357836     -9.399200
      0.380201     -9.355100
      0.402566     -9.271200
      0.424930     -9.158000
      0.447295     -9.027300
      0.469660     -8.891200
      0.492025     -8.763000
      0.514389     -8.656500
      0.536754     -8.585400
      0.559119     -8.560400
      0.580639     -8.576900
      0.602160     -8.624600
      0.623680     -8.698400
      0.645201     -8.791500
      0.666721     -8.896600
      0.688242     -9.007100
      0.709762     -9.117300
      0.731283     -9.222400
      0.752803     -9.318500
      0.774324     -9.402500
      0.795844     -9.471600
      0.817365     -9.523700
      0.838885     -9.557000
      0.860406     -9.569900
      0.881926     -9.563500
      0.903447     -9.538200
      0.924967     -9.493000
      0.946488     -9.430100
      0.968008     -9.351400
      0.989529     -9.259400
      1.011049     -9.157400
      1.032570     -9.048800
      1.054090     -8.937900
      1.075611     -8.830200
      1.097131     -8.731800
      1.118652     -8.649900
      1.140172     -8.591600
      1.161693     -8.562800
      1.183213     -8.566800
      1.204734     -8.603100
      1.227560     -8.656700
      1.250386     -8.717400
      1.273212     -8.875700
      1.296038     -9.073600
      1.318864     -9.280500
      1.341690     -9.480700
      1.364516     -9.662500
      1.387341     -9.817100
      1.410167     -9.938500
      1.432993    -10.023200
      1.452558    -10.037100
      1.472123    -10.020700
      1.491689     -9.977600
      1.511254     -9.911200
      1.530819     -9.824800
      1.550384     -9.721200
      1.569949     -9.602900
      1.589514     -9.471900
      1.609079     -9.430200
      1.628644     -9.496700
      1.648209     -9.558600
      1.667774     -9.615600
      1.687339     -9.667300
      1.706905     -9.713700
      1.726470     -9.754600
      1.746035     -9.789400
