# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -4.9895
# k_min, k_max      =     0.0000    2.0578
# E_min, E_max      =   -17.0174  150.9532
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      0.239050     -8.530600
      0.260782     -8.694100
      0.282513     -8.821000
      0.304245     -8.905200
      0.325977     -8.943300
      0.347709     -8.935800
      0.369440     -8.887000
      0.391172     -8.804700
      0.412904     -8.698100
      0.434636     -8.577400
      0.456368     -8.453400
      0.478099     -8.337900
      0.499831     -8.242800
      0.521563     -8.180600
      0.543295     -8.181900
      0.564206     -8.196200
      0.585118     -8.237700
      0.606029     -8.302200
      0.626941     -8.384100
      0.647852     -8.477300
      0.668763     -8.575900
      0.689675     -8.674800
      0.710586     -8.769800
      0.731498     -8.857300
      0.752409     -8.934100
      0.773321     -8.998100
      0.794232     -9.047000
      0.815143     -9.079500
      0.836055     -9.088700
      0.856966     -9.091800
      0.877878     -9.071300
      0.898789     -9.033700
      0.919701     -8.980800
      0.940612     -8.913900
      0.961523     -8.834500
      0.982435     -8.745300
      1.003346     -8.649300
      1.024258     -8.550300
      1.045169     -8.452800
      1.066081     -8.362100
      1.086992     -8.284100
      1.107903     -8.224900
      1.128815     -8.190000
      1.149726     -8.182800
      1.170638     -8.204100
      1.192818     -8.214900
      1.214998     -8.260500
      1.237177     -8.311000
      1.259357     -8.364000
      1.281537     -8.417200
      1.303717     -8.469800
      1.325897     -8.521600
      1.348077     -8.573200
      1.370257     -8.625000
      1.392437     -8.676800
      1.411448     -8.645300
      1.430460     -8.628500
      1.449471     -8.641000
      1.468482     -8.682000
      1.487494     -8.740300
      1.506505     -8.806500
      1.525516     -8.874800
      1.544528     -8.942200
      1.563539     -9.006000
      1.582551     -9.066800
      1.601562     -9.123300
      1.620573     -9.175000
      1.639585     -9.221600
      1.658596     -9.262900
      1.677607     -9.298500
      1.696619     -9.327900
      1.715630     -9.350300
      1.734641     -9.364300
      1.753653     -9.367700
      1.772664     -9.359800
      1.791675     -9.338400
      1.810687     -9.301800
      1.829698     -9.249100
      1.848710     -9.180100
      1.867721     -9.095700
      1.886732     -8.997300
      1.905744     -8.887300
      1.924755     -8.769000
      1.943766     -8.646300
      1.962778     -8.524400
      1.981789     -8.409100
      2.000800     -8.307600
      2.019812     -8.227300
      2.038823     -8.186200
      2.057834     -8.181900


      0.000000     -6.622700
      0.021732     -6.606700
      0.043464     -6.630900
      0.065195     -6.759000
      0.086927     -6.944200
      0.108659     -7.164200
      0.130391     -7.402500
      0.152123     -7.647000
      0.173854     -7.888900
      0.195586     -8.121200
      0.217318     -8.337300
      0.239050     -8.530600
      0.260782     -8.694100
      0.282513     -8.821000
      0.304245     -8.905200
      0.325977     -8.943300
      0.347709     -8.935800
      0.369440     -8.887000
      0.391172     -8.804700
      0.412904     -8.698100
      0.434636     -8.577400
      0.456368     -8.453400
      0.478099     -8.337900
      0.499831     -8.242800
      0.521563     -8.180000
      0.543295     -8.181900
      0.564206     -8.177900
      0.585118     -8.214200
      0.606029     -8.279500
      0.626941     -8.362400
      0.647852     -8.456700
      0.668763     -8.556600
      0.689675     -8.657000
      0.710586     -8.753500
      0.731498     -8.842500
      0.752409     -8.921000
      0.773321     -8.986500
      0.794232     -9.037200
      0.815143     -9.071400
      0.836055     -9.088300
      0.856966     -9.087300
      0.877878     -9.068400
      0.898789     -9.032200
      0.919701     -8.979100
      0.940612     -8.910800
      0.961523     -8.830000
      0.982435     -8.739200
      1.003346     -8.641400
      1.024258     -8.540400
      1.045169     -8.440800
      1.066081     -8.347800
      1.086992     -8.267300
      1.107903     -8.205400
      1.128815     -8.179400
      1.149726     -8.181900
      1.170638     -8.178000
      1.192818     -8.185000
      1.214998     -8.260300
      1.237177     -8.310800
      1.259357     -8.363600
      1.281537     -8.416800
      1.303717     -8.469300
      1.325897     -8.521000
      1.348077     -8.572600
      1.370257     -8.624400
      1.392437     -8.676100
      1.411448     -8.644700
      1.430460     -8.628200
      1.449471     -8.640900
      1.468482     -8.681600
      1.487494     -8.739700
      1.506505     -8.805700
      1.525516     -8.874000
      1.544528     -8.941100
      1.563539     -8.817900
      1.582551     -8.676900
      1.601562     -8.640000
